0	0	0	0	0	0	0	0
1	12	0	16	150	0	0	URM
2	11	255	16	0	0	0	C1
3	10	255	16	0	0	0	C1
4	12	255	16	150	0	0	C1
5	200	255	8	0	4	8	C1
6	205	255	32	32	0	1	C1
7	217	255	2	8	0	0	U1
8	217	255	2	8	0	0	C1
9	250	255	4	4	0	0	U1
10	62	255	8	105	0	0	C1
11	74	0	0	0	0	0	U1
12	234	255	0	0	0	0	C1
13	112	255	255	0	0	0	C1
14	230	255	8	4	0	0	U1
15	230	255	8	3	0	0	U1
16	202	255	16	2	240	0	C1
17	232	255	5	35	0	0	C1
18	25	255	8	0	0	0	U1
19	24	255	8	0	0	0	C1
20	228	255	8	0	0	0	U1
21	62	255	8	105	0	0	U1
22	228	255	8	0	0	0	C1
23	21	255	8	0	0	0	U1
24	200	255	8	0	4	8	I1
25	205	255	8	8	0	1	C1
26	13	0	16	150	12	0	UR
27	13	0	16	150	13	0	UR
28	13	0	16	150	14	0	UR
29	12	255	16	150	0	0	U1
30	200	255	8	0	6	8	C1
31	11	0	16	0	0	0	U1
32	13	0	16	0	12	0	U1
33	13	0	16	0	14	0	U1
34	13	0	16	0	13	0	U1
35	112	255	35	0	0	0	C1
36	200	255	32	136	1	0	C1
37	200	255	8	0	2	7	C1
38	21	255	8	0	0	0	C1
39	70	255	1	0	0	0	C1M
40	201	255	8	0	1	8	C1
41	201	255	32	0	5	0	U1
42	10	255	16	0	0	0	UR
43	201	255	32	0	5	0	UR
44	201	255	8	136	5	0	C1
45	24	255	8	0	0	0	UR
46	11	255	16	0	0	0	IR
47	228	255	8	0	0	0	I1
48	100	64	0	0	0	0	0
49	205	255	8	8	0	1	U1
50	10	255	16	0	0	0	U1
51	74	100	0	0	0	0	U1
52	74	0	0	0	0	0	C1
53	60	255	8	105	0	0	C1
54	61	255	0	0	0	0	C1
55	28	255	8	1	0	0	U1
56	28	255	8	1	0	0	C1
57	44	255	0	0	0	0	C1
58	23	255	8	24	0	0	C1
59	200	255	8	24	0	11	C1
60	21	255	8	0	0	0	UR
61	11	255	16	0	0	0	UR
62	62	255	8	105	0	0	UR
63	12	255	16	150	0	0	UR
64	200	255	8	0	4	8	UR
65	28	255	8	1	0	0	UR
66	230	255	8	3	0	0	UR
67	230	255	8	4	0	0	UR
68	228	255	8	0	0	0	UR
69	25	255	8	0	0	0	UR
70	200	255	32	136	1	0	UR
71	200	255	32	136	1	0	U1
72	201	255	8	136	5	0	CR
73	205	255	8	8	0	1	CR
74	44	255	0	0	0	0	CR
75	10	255	16	0	0	0	CR
76	202	255	16	2	240	0	CR
77	205	255	32	32	0	1	CR
78	200	255	1	0	0	7	UR
79	112	255	35	0	0	0	CR
80	234	255	0	0	0	0	CR
81	112	255	255	0	0	0	CR
82	21	255	8	0	0	0	CR
83	24	255	8	0	0	0	CR
84	200	255	8	0	2	7	CR
85	101	64	0	0	0	0	0
86	11	255	16	0	0	0	CR
87	60	255	8	105	0	0	CR
88	62	255	8	105	0	0	CR
89	61	255	0	0	0	0	CR
90	12	255	16	150	0	0	CR
91	200	255	8	0	4	8	CR
92	23	255	8	24	0	0	CR
93	200	255	8	24	0	11	CR
94	28	255	8	1	0	0	CR
95	228	255	8	0	0	0	CR
96	200	255	8	0	6	8	CR
97	70	255	1	0	0	0	CRM
98	200	255	32	136	1	0	CR
99	13	255	64	0	12	0	UR
100	217	255	16	8	0	0	C1
101	200	255	8	0	4	8	U1
102	24	255	8	0	0	0	U1
103	11	255	16	0	0	0	U1
104	233	255	0	0	0	0	C1
105	12	255	64	150	0	0	CR
106	11	255	64	0	0	0	CR
107	10	255	64	0	0	0	CR
108	12	255	64	150	0	0	C1
109	11	255	64	0	0	0	C1
110	10	255	64	0	0	0	C1
111	12	255	64	150	0	0	U1
112	11	255	64	0	0	0	U1
113	10	255	64	0	0	0	U1
114	12	255	64	150	0	0	UR
115	11	255	64	0	0	0	UR
116	10	255	64	0	0	0	UR
117	12	0	64	150	0	0	UR
118	11	0	64	0	0	0	U1
119	25	255	8	0	0	0	C1
120	62	255	32	105	0	0	CR
121	62	255	32	105	0	0	C1
122	62	255	32	105	0	0	U1
123	62	255	32	105	0	0	UR
124	74	100	0	0	0	0	C1
125	70	255	1	1	0	0	C1M
126	70	255	1	1	0	0	CRM
127	217	255	16	8	0	0	U1
128	25	255	8	0	0	0	CR
129	25	255	32	0	0	0	CR
130	25	255	32	0	0	0	C1
